longitude,latitude,timestamp,name_id
119.6776716,31.27908,2020-07-18 09:07:17,0086627503122318
119.677165,31.2792,2020-07-18 13:37:16,0086627503122318
119.6683616,31.2851733,2020-07-18 13:39:07,0086627503122318
119.6557733,31.2900483,2020-07-18 13:40:57,0086627503122318
119.652005,31.296475,2020-07-18 13:42:54,0086627503122318
119.6494783,31.3059666,2020-07-18 13:44:45,0086627503122318
119.6512133,31.3189416,2020-07-18 13:46:34,0086627503122318
119.6378783,31.3269483,2020-07-18 13:48:25,0086627503122318
119.62992,31.3353866,2020-07-18 13:50:15,0086627503122318
119.6292716,31.349265,2020-07-18 13:52:06,0086627503122318
119.6312333,31.3609933,2020-07-18 13:53:56,0086627503122318
119.63788,31.3663666,2020-07-18 13:55:47,0086627503122318
119.637835,31.3662516,2020-07-18 13:57:36,0086627503122318
119.6378183,31.3662533,2020-07-18 13:59:27,0086627503122318
119.6304316,31.3603699,2020-07-18 14:01:17,0086627503122318
119.6291916,31.3500733,2020-07-18 14:03:08,0086627503122318
119.6298216,31.3378666,2020-07-18 14:04:58,0086627503122318
119.6303683,31.3312333,2020-07-18 14:06:48,0086627503122318
119.6424583,31.3246083,2020-07-18 14:08:38,0086627503122318
119.6494949,31.3119633,2020-07-18 14:10:28,0086627503122318
119.6500283,31.2973216,2020-07-18 14:12:19,0086627503122318
119.659235,31.293555,2020-07-18 14:14:10,0086627503122318
119.66923,31.2879116,2020-07-18 14:16:01,0086627503122318
119.6770116,31.2801066,2020-07-18 14:17:51,0086627503122318
119.67622,31.2806083,2020-07-18 16:52:09,0086627503122318
119.6648216,31.2867783,2020-07-18 16:53:59,0086627503122318
119.6531666,31.288975,2020-07-18 16:55:49,0086627503122318
119.6473616,31.2812016,2020-07-18 16:57:40,0086627503122318
119.6439383,31.2788083,2020-07-18 16:59:31,0086627503122318
119.6385583,31.2735666,2020-07-18 17:01:22,0086627503122318
119.636775,31.2716066,2020-07-18 17:23:17,0086627503122318
119.6475116,31.281265,2020-07-18 17:25:07,0086627503122318
119.6502916,31.2932033,2020-07-18 17:26:59,0086627503122318
119.6498966,31.3001583,2020-07-18 17:28:49,0086627503122318
119.65055,31.3161733,2020-07-18 17:30:40,0086627503122318
